Date,Price,Open,High,Low,Vol.,Change
3-20-2021,58093.40,58084.10,59882.10,57863.00,67.83K,0.01%
3-19-2021,58088.00,57645.00,59448.30,56305.10,83.98K,0.75%
3-18-2021,57656.00,58911.80,60088.00,57099.60,102.62K,-2.13%
3-17-2021,58913.50,56892.90,58933.20,54253.20,118.26K,3.56%
3-16-2021,56889.70,55619.50,56889.70,53342.60,128.51K,1.97%
3-15-2021,55791.30,59117.40,60565.90,55088.80,117.71K,-5.62%
3-14-2021,59113.70,61192.70,61673.70,59113.70,80.29K,-3.40%
3-13-2021,61195.30,57267.40,61795.80,56118.80,134.64K,6.86%
3-12-2021,57265.10,57806.20,58052.30,55134.50,116.96K,-0.92%
3-11-2021,57799.50,55851.20,58135.00,54351.80,129.63K,3.49%
3-10-2021,55851.90,54882.70,57328.70,53073.60,140.96K,1.77%
3-9-2021,54879.00,52352.40,54880.60,51941.30,114.06K,4.91%
3-8-2021,52311.00,50988.90,52384.90,49338.10,68.14K,2.61%
3-7-2021,50982.30,48899.00,51434.10,48890.60,82.91K,4.35%
3-6-2021,48855.60,48798.70,49191.80,47132.80,66.66K,0.13%
3-5-2021,48792.50,48363.60,49429.40,46370.10,113.64K,0.75%
3-4-2021,48428.00,50388.00,51757.70,47521.80,9.56K,-3.90%
3-3-2021,50395.10,48422.20,52567.90,48159.20,44.93K,4.07%
3-2-2021,48424.20,49595.60,50191.90,47100.60,102.10K,-2.36%
3-1-2021,49595.50,45160.50,49774.00,45008.80,137.52K,9.81%
2-28-2021,45164.00,46136.00,46582.00,43100.60,135.08K,-2.11%
2-27-2021,46136.70,46333.10,48335.10,45059.40,98.75K,-0.45%
